model,rmse,mae,mape,bias,num_folds,rmse_std,mae_std
Naive,2251.3738444643564,1483.6678515511735,4.646871505703238,2.5365896511294297,7469,1488.3005106800508,1330.1591905630253
SES (α=0.7),2400.900883513763,1617.9454061775368,5.064029081773707,2.302252511249371,7469,1574.4981049940247,1431.6387407262112
SES (α=0.5),2593.8026075283474,1792.910760484725,5.609149484269482,1.937390066761287,7469,1680.6132318256473,1555.2368371493526
SES (α=0.3),3010.0159575009025,2171.8146280622245,6.798320229875018,1.50732273527849,7469,1898.1699867048019,1804.6491021779175
Seasonal_Naive (s=7),3378.344403124814,2505.2652531285503,7.826959775041188,0.9533497538396867,7469,2056.904225636408,1987.5504791153362
SES (α=0.1),4499.924735818706,3572.829446219781,11.420992376767531,1.4020261834321703,7469,2549.711115670903,2535.646449007219
